duration,protocol_type,service,src_bytes,dst_bytes,count,srv_count,same_srv_rate,label,attack_type
1,tcp,smtp,1034,361,1,2,1.0,0,normal
0,tcp,exec,0,0,123,17,0.14,1,dos
0,tcp,http,204,283,4,4,1.0,0,normal
0,tcp,private,0,0,273,16,0.06,1,dos
0,udp,private,1,0,11,10,0.91,1,probe
0,tcp,smtp,1517,329,1,1,1.0,0,normal
0,tcp,http,217,2445,14,14,1.0,0,normal
0,tcp,smtp,0,0,2,2,1.0,0,normal
0,udp,domain_u,45,81,215,215,1.0,0,normal
0,tcp,http,282,1828,9,10,1.0,0,normal
0,icmp,eco_i,8,0,1,10,1.0,1,probe
0,tcp,http,294,810,36,39,1.0,0,normal
6,tcp,smtp,714,328,1,1,1.0,0,normal
0,tcp,auth,0,0,278,5,0.02,1,dos
0,udp,domain_u,37,118,2,2,1.0,0,normal
1,tcp,smtp,1186,370,1,2,1.0,0,normal
0,udp,private,28,0,52,51,0.98,1,dos
0,tcp,http,54540,8314,6,6,1.0,1,dos
0,tcp,http,243,1628,2,3,1.0,0,normal
6,tcp,finger,6,221,1,1,1.0,0,normal
0,udp,domain_u,35,100,2,2,1.0,0,normal
0,tcp,http,249,1112,8,8,1.0,0,normal
0,tcp,http,320,1673,6,6,1.0,0,normal
0,udp,domain_u,43,130,323,322,1.0,0,normal
0,tcp,http,376,1679,5,5,1.0,0,normal
0,tcp,iso_tsap,0,0,251,12,0.05,1,dos
9,tcp,telnet,250,15511,1,1,1.0,0,normal
0,tcp,ftp_data,854,0,8,8,1.0,0,normal
0,tcp,private,0,0,221,9,0.04,1,dos
0,tcp,http,219,6912,36,36,1.0,0,normal
0,tcp,private,0,0,126,9,0.07,1,dos
0,icmp,eco_i,8,0,1,10,1.0,1,probe
0,tcp,private,0,0,270,9,0.03,1,dos
0,udp,domain_u,43,69,201,201,1.0,0,normal
0,udp,domain_u,43,132,71,151,1.0,0,normal
0,tcp,hostnames,0,0,262,15,0.06,1,dos
0,udp,domain_u,44,131,79,157,1.0,0,normal
2545,udp,other,146,105,1,1,1.0,0,normal
0,icmp,ecr_i,520,0,487,487,1.0,1,dos
0,tcp,uucp,0,0,116,11,0.09,1,dos
0,tcp,http,200,955,1,1,1.0,0,normal
0,tcp,http,215,817,2,5,1.0,0,normal
0,tcp,mtp,0,0,292,7,0.02,1,dos
0,tcp,ftp,0,0,257,6,0.02,1,dos
0,tcp,smtp,544,330,1,1,1.0,0,normal
0,tcp,http,312,25608,2,3,1.0,0,normal
0,tcp,iso_tsap,0,0,237,16,0.07,1,dos
0,tcp,http,0,0,239,14,0.06,1,dos
0,tcp,http,0,0,1,1,1.0,0,normal
4921,tcp,other,1,0,2,2,1.0,1,probe
0,udp,domain_u,44,44,105,105,1.0,0,normal
0,tcp,private,0,0,26,2,0.08,1,dos
0,tcp,http,0,0,1,1,1.0,0,normal
0,tcp,http,272,905,14,15,1.0,0,normal
0,tcp,private,0,0,102,18,0.18,1,dos
3660,udp,other,147,105,4,2,0.5,0,normal
0,tcp,private,0,0,194,1,0.01,1,probe
0,tcp,private,0,0,205,11,0.05,1,dos
0,tcp,exec,0,0,123,22,0.18,1,dos
0,tcp,link,0,0,271,20,0.07,1,dos
0,tcp,iso_tsap,0,0,252,13,0.05,1,dos
0,tcp,iso_tsap,0,0,266,14,0.05,1,dos
0,tcp,smtp,0,0,15,15,1.0,1,dos
0,tcp,private,0,0,264,10,0.04,1,dos
0,tcp,vmnet,0,0,202,18,0.09,1,dos
0,tcp,other,0,0,509,1,0.0,1,probe
0,tcp,ftp_data,748,0,1,1,1.0,0,normal
0,tcp,private,0,0,1,1,1.0,1,probe
0,tcp,private,0,0,133,8,0.06,1,dos
0,tcp,http,265,458,5,5,1.0,0,normal
0,tcp,http,303,1049,9,9,1.0,0,normal
0,icmp,eco_i,18,0,1,1,1.0,1,probe
0,tcp,http,316,1621,4,7,1.0,0,normal
0,udp,domain_u,44,110,67,147,1.0,0,normal
0,tcp,private,0,0,146,17,0.12,1,dos
0,tcp,smtp,1010,387,1,1,1.0,0,normal
0,tcp,efs,0,0,99,2,0.02,1,dos
0,tcp,http,290,3606,6,6,1.0,0,normal
0,tcp,finger,0,0,39,10,0.26,1,dos
1,tcp,smtp,797,392,1,4,1.0,0,normal
0,tcp,http,188,12446,2,6,1.0,0,normal
0,tcp,http,209,1665,8,10,1.0,0,normal
0,icmp,eco_i,8,0,1,5,1.0,1,probe
0,tcp,http,204,1337,27,27,1.0,0,normal
0,tcp,ftp_data,0,0,282,22,0.08,1,dos
0,tcp,http,281,764,1,8,1.0,0,normal
0,tcp,http,239,1695,7,8,1.0,0,normal
0,icmp,ecr_i,520,0,480,480,1.0,1,dos
0,tcp,ftp_data,0,0,290,21,0.07,1,dos
0,tcp,private,0,0,218,15,0.07,1,dos
0,tcp,other,0,0,388,1,0.0,1,probe
0,tcp,http,335,2306,7,7,1.0,0,normal
0,tcp,private,0,0,293,19,0.06,1,dos
0,tcp,smtp,1724,387,1,2,1.0,0,normal
0,tcp,http,54540,8314,2,2,1.0,1,dos
0,tcp,name,0,0,1,1,1.0,1,probe
0,udp,private,105,146,1,1,1.0,0,normal
0,tcp,http,331,1719,5,5,1.0,0,normal
